Банк;Заголовок;Оценка;Текст;Дата
Тинькофф Банк;Получил карту с доставкой на дом;5;Так как у меня есть ограничения по расчётным счетам (ФССП наложили арест на мою дебетовую карту), мне потребовалась карта для оплаты брони отеля и авиабилета. Когда я обратился к ним на горячую линии, мне пояснили, что взыскание могут наложить на депозитный счет и предложили кредитку, так как ее арестовать не могут. Я подал заявку и в короткий срок получил кредитку, оплатил билет и бронь без проблем и классно провел отпуск. Рекомендую всем! P.S. как снимут арест, продолжу с вами сотрудничество.; 29.01.2021 12:48
ВТБ;Мошенническое действия;5;Был взломан онлайн банк 18.01.2021г , одобрен онлайн кредит и  переведены денежные средства на карту, далее неизвестными лицами списывались деньги  с зарплатной и кредитной карты. Была оформлена претензия банку ВТБ и присвоен номер CR-7586573 ,на которую банк ответил что отсутствуют основания удовлетворения требований . В банке мне дали номера счетов куда переводили денежные средства. Сотрудники ВТБ банка не смогли сделать отмену переводов денежных средств. Было написано заявление в полицию города Первоуральска был присвоен номер (кусп-1900).; 29.01.2021 12:47
Райффайзенбанк;Бедный,бедный банк;1;"Получила ответ из банка:""Какая либо финансовая компенсация не может быть предоставлена Банком......Надеемся на ПОНИМАНИЕ нашей позиции по данным вопросам."".Еще прислали смс:""ПОМОГИТЕ нам стать лучше...""БАНК ПРОСИТ ПОМОЧЬ И ПОНЯТЬ !!!Вот ,что я проняла и всем советую так делать: 1.Записывать все разговоры с банком.2.В случае,если в интернет банке не проходит операция,делать скриншот.3.Затем отправляться в суд.А банк мне хочется погладить по головке(совет директоров) и сказать:""Бедный,бедный..."""; 29.01.2021 12:46
ВТБ;Исполнительное производство;1;"12.01.2021 в ВТБ Банк был повторно направлен Исполнительный лист ФС № 029342864, который был получен Банком 17.01.2021г. (почтовый идентификатор 11503555001097).В соответствии с п.5 ст. 70 ФЗ ""Об исполнительном производстве"" требования о взыскании должны исполняться незамедлительно.В связи с нарушением Банком ВТБ требований закона мной было составлено обращение CR-7589030 от 21.01.2021 с целью разъяснения причин задержки перечисления денежных средств. Срок рассмотрения обращения составляет в соответствии с регламентными процедурами Банка 7 дней.По состоянию на 29.01.2021 Банк не исполнил требования по Исполнительному листу ФС № 029342864 и не ответил на обращение CR-7589030 от 21.01.2021.Прошу указать причину нарушения Банком ВТБ норм законодательства РФ, касаемых срока перечисления денежных средств по исполнительному документу, а также указать причину игнорирования направляемых в адрес Банка запросов.В случае неисполнения требований исполнительного документа, буду вынужден обратиться в уполномоченные органы за защитой нарушенных прав и потребовать привлечения Банка к ответственности по ч. 2 ст. 17.14 КоАП РФ.P.S. Качество оказания услуг отвратительное!"; 29.01.2021 12:45
Банк ДОМ.РФ;Не могу получить закладную;1;В середине декабря 2020 года я погасила ипотеку, подала заявление на получение закладной через личный кабинет, его приняли. 31 декабря мне позвонили сотрудники ВТБ и попросили переподать заявление заново в связи с тем что изменился агент сопровождения.03.01.2021 я подала новое заявление, в нем стоял срок рассмотрения до 28 января. Позвонила в банк, оператор сказал мне, что 28 января я точно получу сообщение от банка о том КОГДА мне выдадут закладную. Никакого сообщения не пришло. Сегодня снова звонила в банк, операторы говорят, что закладная у специалиста и что они делают всё возможное, разговаривают вежливо и терпеливо, но отказываются назвать ГОРОД, в котором находится закладная. Говорят, что точных сроков мне никто не назовет.Мой покупатель квартиры не готов ждать без точных сроков, собирается искать другой объект. Соответственно, моя сделка на покупку тоже под вопросом.; 29.01.2021 12:43
Транскапиталбанк;Профессионализм сотрудников банка;5;Планировала оформить ипотеку в новом году, обратилась в ТКБ. 28.12.20 обратилась в офис на ул. Воронцовская. Менеджер Елизавета рассказала о видах кредитования, подсказала, как можно снизить ставку. Квартиру я хотела купить на вторичном рынке, уже нашла вариант. Около 13 января владелец сообщил, что по своим причинам передумал продавать жилье, нужно было искать новый вариант, а времени не было. Связалась с менеджером, рассказала о проблеме. Елизавета постаралась максимально оттянуть срок подписания документов, пока я не нашла новый вариант.; 29.01.2021 12:42
МТС Банк;Благодарность за качественное оперативно обслуживание;5;В банке открыт расчетный счет, и пользуюсь услугами эквайринга. Хочу выразить благодарность всем сотрудникам Волгоградского отделения за отзывчивость, оперативность в решении вопросов и профессионализм. Отдельное спасибо менеджеру Валерии Б. Всегда все расскажет, поможет решить вопросы и даст обратную связь.; 29.01.2021 12:42
Тинькофф Банк;Банк всегда под рукой;5;Как же удобно когда банк со всеми своими функциями всегда под рукой. Брала автокредит, очень порадовала процентная ставка и возможность частично досрочного погашения в любое время. Не было никаких навязанных услуг и страховок. В мобильном приложении все наглядно видно, понятный интерфейс, особенно радует онлайн чат в режиме нон-стоп  что для меня важно. Сегодня закрыла досрочно свой кредит для этого написала в чат, мне рассчитали  полную сумму я подтвердила погашение. Остаток по счету вернут на тот банк который вам нужен, все очень удобно и быстро. А самое главное не нужно сидеть в очередях, платишь сидя дома на диване Огромное спасибо Тинькофф за то, что вы есть.; 29.01.2021 12:38
Тинькофф Банк;Екатеринбург;1;Друг оформил кредитную карту по моей ссылке, когда понадобилась кредитка её активировали, но ни я ни друг не получили обещанный банком вознаграждение за друга, ни в личном кабинете ни на сайте банка не было подробностей о том что необходимо воспользоваться картой в течении 90 дней, друг не успел всего лишь на несколько идей. После такого случая нет желания рекомендовать продукты банка друзьям и близким. Банк получил свою прибыль от нового оформленного продукта,решил и бонус мне не платить! Какие-то 750 рублей,а обидно очень даже!!!; 29.01.2021 12:38
СберБанк;Помощь в подаче заявления;5;Раньше по всем вопросам ходила в центральный офис. С лета 2020 хожу только в отделение Сбербанка по месту жительства - К.Маркса, 143/1Всё сотрудники внимательны и доброжелательны. Быстро решают проблемные вопросы! Теперь всем рекомендую именно Сбербанк (до этого был другой банк в моём личном рейтинге на 1 месте)! Сбер повышает свой сервер прямо на глазах!Сегодня хочу сказать отдельное Спасибо двум специалистам: Светлане Шангиной и Инне Литвиненко. Их спокойствие и терпение, а также точность действий в помощи мне - это то, что необходимо в данной сфере! Лучшие рекомендации им! Надеюсь, что так будет и далее....; 29.01.2021 12:33
Совкомбанк;Промокод;5;Мной был активирован бонус в игре 5X10 для возврата с покупки в магазине партнере. Покупка не была произведена,бонус не использовался.После консультации в банке я сделал следующую покупку.Попробовал использовать бонус на эту покупку, оказалось, что нельзя его использовать.Позвонив на горячую линию и  объяснив ситуацию банк пообещал разобраться  в течении десяти рабочих дней. Уже на следующий день вопрос мой решился положительно. Я получил бонусы за покупку на свою карту.Очень доволен работой Совкомбанка. Являюсь клиентом банка больше десяти лет и всем рекомендую ЭТОТ банк.; 29.01.2021 12:33
Тинькофф Банк;Лучшие Сотрудники Лучший Банк Тинькофф;5;Очень вежливые и профессиональные сотрудники с которыми приятно общаться все объясняют очень понятно и легко Спасибо Тинькофф Банк Тылутший!!! Желаю стать Банком номер 1 во Всем мире и я уверен Скоро так и будет ! Удобный интерфейс очень хорошее и качественное обслуживание Всегда актуальные и свежие новости и аналитика!; 29.01.2021 12:29
Газпромбанк;Сокрытие информации со стороны банка.;1;Добрый день ! Прошу разобраться с ситуацией по договору номер 00932- пб-037/1002/21 от 26.01.2021 сачков Олег Игоревич . По данному договору был заключён договор страхования , договор страхования медицина без границ, и сертификат на юридические услуги. В банке сообщили если отказаться от этих дополнительных услуг , то вырастет процентная ставка. В итоге заёмщик уточнил какой будет платёж - ему ничего не сказали ( скрыли информацию ) обращение в офис было сегодня 29.01.2021. По горячей линии также было сделано обращение по поводу уточнения ежемесячного платежа - там сообщили что бы заёмщик шёл в отделение банка. Непонимаю почему идёт сокрытие информации? Я прошу предоставить обратную связь либо мне либо заемщику сачкову Олегу Игоревичу по телефону +7 (987) 956-38-71 . Интересует ответ на вопрос: какой будет платёж и процентная ставка по договору при отказе от дополнительных услуг? В ином случае заёмщик будет вынужден обратится с жалобой в центробанк . Надеюсь на ваше понимание.; 29.01.2021 12:25
Ситибанк;Условия акции противоречат правилам программы лояльности;3;В конце прошлого года банк объявил акцию «Повышенный кэшбэк у партнеров 5%», которая предполагает в том числе начисление cashback 5% у ряда сотовых операторов при оплате услуг в их мобильном приложении или на сайте.По факту начисление составляет только 4% (повышенный cashback) без начисления стандартного cashback в размере 1%. Я уточнил, с чем это связано. Оказывается, при оплате не через приложение Ситибанка, а через приложение сотового оператора cashback вообще не начисляется по условиям программы лояльности.Хорошо. Это правила, и их никто не оспаривает. Но почему вы в условиях акции не отразили этого? Там четко написано о cashback 5%, а не «до 5%».Прошу банк привести условия акции в соответствии с вашими же правилами начисления cashback и доначислить клиентам за предыдущие периоды cashback в размере 1%.Эта ситуация очень странная, так как обычно условия акции вычитываются юристами чрезвычайно тщательно и таких «косяков» там быть не должно.; 29.01.2021 12:25
ВТБ;С заботой о клиентах;5;Всем добрый день. В моей очень не простой ситуации мне помогла сотрудник банка Втб на Светлановском 11, Горлова Дарья Дмитриевна, с высоким профессионализмом в кратчайшие сроки проблемы были решены, подобраны наилучшие условия, наилучшие по сравнению со всеми банками куда я обращался. Хочу выразить огромную благодарность от чистого сердца Горловой Дарье Дмитриевной!; 29.01.2021 12:25
Росбанк;Оформление закладной.;1;Добрый день, имею ипотечный договор с банком 399976-КД-2017. При оформление закладной столкнулся с длительным ожиданием. Отравил готовый отчёт об оценки недвижимости две недели назад, до сих пор нет никакого ответа, хотя представитель банка уверял что проверка отчёта и оформление закладной проходит 3-4 дня.Сколько можно ждать? Прошу разобраться с этим вопросом.; 29.01.2021 12:24
